"org_id","tbl_id","tbl_name"
"113","DT_113_STBL_1020844","남북통일에 대한 남북체육교류의 영향력 연도별 비교"
"336","DT_336003N_AI_002","연도별 AI 도입 누적 현황"
"395","DT_395N_S2020288","코로나19 관련 정부지원이 혁신활동/성과에 미친 영향 중요도: 조세 지원"
"395","DT_395N_I2019267","코로나19관련 정부지원이 회사의 혁신활동 및 성과에 미친 영향: 조세 지원"
"395","DT_395N_S2023216","기후변화가 기업 활동에 미친 영향 유무: 기상이변의 영향"
"395","DT_395N_S2022216","기후변화가 기업 활동에 미친 영향 유무: 기상이변의 영향"
"395","DT_395N_S2023214","기후변화가 기업 활동에 미친 영향 유무: 기후변화 완화 또는 적응에 도움이 되는 상품"
"395","DT_395N_S2022214","기후변화가 기업 활동에 미친 영향 유무: 기후변화 완화 또는 적응에 도움이 되는 상품"
"395","DT_395N_S2023215","기후변화가 기업 활동에 미친 영향 유무: 기후변화에 따른 비용 또는 투입 요소 가격 증가"
"395","DT_395N_S2022215","기후변화가 기업 활동에 미친 영향 유무: 기후변화에 따른 비용 또는 투입 요소 가격 증가"
"101","DT_1K41017","음식점포함 소매판매액지수(2020=100.0)"
"101","DT_1K41012","재별 및 상품군별 소매판매액지수(2020=100.0)"
"101","DT_1K41016","광역경제권 대형소매점 판매액지수(2020=100.0)"
"101","DT_1K41013","소매업태별 판매액지수(2020=100.0)"
"101","DT_1K41014","업태별상품군 판매액지수(2020=100.0)"
"101","DT_1K41018","시도별 소매판매액지수(2020=100)"
"101","DT_1K41005","17개 시도별 대형소매점 판매액"
"101","DT_1K41015","17개 시도별 대형소매점 판매액지수(2020=100.0)"
"301","DT_404Y014","생산자물가지수(기본분류)"
"301","DT_404Y015","생산자물가지수(특수분류)"
"301","DT_404Y016","생산자물가지수(품목별)"
"101","DT_1J22017","연쇄방식 소비자물가지수(2020=100)"
"389","DT_389003_A028","간접고용인력 중 직접고용인력 전환율"
"408","DT_40801_N4206_06","상권별 소규모 상가 전환율"
"408","DT_40801_N4206_05","상권별 소규모 상가 전환율"
"408","DT_40801_N4206_04","상권별 소규모 상가 전환율"
"408","DT_40801_N4206_03","상권별 소규모 상가 전환율"
"408","DT_40801_N4206_02","상권별 소규모 상가 전환율"
"408","DT_40801_N4206_01","상권별 소규모 상가 전환율"
"101","DT_2KI2048","[자동차판매,소매,음식주점]산업세세분류별 배달(택배) 판매여부 현황"
"101","DT_2KI2038","[도소매]산업세세분류별/매출액규모별/상품판매유형별 구성비"
"101","DT_1KI1535","[도소매]산업세세분류별/매출액규모별/상품판매유형별 구성비"
"101","DT_2KI2037","[도소매]산업세세분류별/매출액규모별/상품판매처별 구성비"
"142","DT_C11428","업종 · 근로자수별 국내수준 대비 주력 제품(서비스)의 기술력 수준 평가"
"114","DT_114053_040_2019_01","가공식품 품목별 구입 시 우선 확인하는 사항(곡물가공품)"
"114","DT_114053_041_01","최근 1년간 가공식품 품목별 구입경험 및 구입 변화(곡물가공품)"
"101","DT_1J22001","지출목적별 소비자물가지수(품목포함, 2020=100)"
"101","DT_1J22112","품목별 소비자물가지수(품목성질별: 2020=100)"
"101","DT_1J22002","품목성질별 소비자물가지수(2020=100)"
"114","DT_114053_094","장바구니 물가에 가장 큰 영향을 미치는 품목 인식"
"101","DT_1J22010","특수분류 소비자물가지수(2020=100)"
"133","DT_133N_8610","8.6.9 중소기업의 업태별 신고 법인수Ⅰ(지역,법인종류,사업연도,조정구분)[2013~]"
"344","DT_344002_001","상장기업의 부가가치 분석"
"133","DT_133N_812","8.1.2 법인세 신고 현황Ⅱ(법인종류,사업연도,개업일,상장·비상장,영리·비영리,법인규모,조정구분)[2007~]"
"395","DT_395N_S2023293","기업의 운영 상황: 상장여부"
"395","DT_395N_S2022293","기업의 운영 상황: 상장여부"
"395","DT_395N_I2021293","기업의 운영 상황: 상장여부"
"395","DT_395N_S2020301","기업의 운영 상황: 상장여부"
"395","DT_395N_I2019275","기업의 운영 상황: 상장여부"
"348","TX_34801_A013","매매결제 현황 ; 유가증권시장 상장증권 결제"
