org_id,tbl_id,code_type,obj_id,obj_name,code,name
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01255,양 염소 말 당나귀 노새 또는 버새의 것   신선 또는 냉장한 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01256,양 염소 말 당나귀 노새 또는 버새의 것   냉동한 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0129,달리 명시되지 않은 고기 및 식용설육신선냉장 또는 냉동한 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01291,토끼의 것 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01292,개구리다리 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01293,달팽이(바다달팽이 제외) 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01299,기타 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.016,고기 및 실용석육염장염수장건조 또는 훈제한 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0161,베이컨햄 및 기타 돼지고기건조염장 또는 훈제한 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01611,넓적다리살어깨살과 이들을 절단한 것   (뼈가 있는 것)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01612,복부살과 이를 절단한 것 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01619,기타 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0168,돼지고기 이외의 고기 및 식용설육염장염수장건조 훈제한 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01681,쇠고기 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01689,기타(육 또는 설육의 식용 분과 조분을   포함)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.017,달리 명시되지 않은 조제 또는 저장한 고기 및 설육
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0171,고기물고기류갑각류연체동물 또는   기타 수생무척추동물의 추출물과 주스
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01710,기타(고기물고기류갑각류연체동물 또는   기타 수생무척추동물의 추출물과 주스)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01711,고기추출물
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01712,고기즙
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01713,물고기추출물
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01714,물고기즙
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01719,기타고기물고기류갑각류연체동물의 추출물과 쥬스
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0172,소시지 및 유사제품 이들 조제식료품 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01720,기타(소시지 및 유사제품 이들 조제식료품 )
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01721,소시지
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01729,기타 소시지및 유사제품이들의 조제 식료품
